company,rank,revenue,profit,num. of employees,Market Cap
Walmart,1,572754,13673,2300000,352037
Amazon,2,469822,33364,1608000,1202717
Apple,3,365817,94680,154000,2443962
CVS Health,4,292111,7910,258000,125204
UnitedHealth Group,5,287597,17285,350000,500468
Exxon Mobil,6,285640,23040,63000,371841
Berkshire Hathaway,7,276094,89795,372000,625468
Alphabet,8,257637,76033,156500,1309359
McKesson,9,238228,-4539,67500,47377
AmerisourceBergen,10,213988.8,1539.9,40000,29972
Costco Wholesale,11,195929,5007,288000,230443
Cigna,12,174078,5365,72963,88459
AT&T,13,168864,20081,202600,148907
Microsoft,14,168088,61271,181000,1941033
Cardinal Health,15,162467,611,46827,15169
Chevron,16,162465,15625,42595,284132
Home Depot,17,151157,16433,490600,308152
Walgreens Boots Alliance,18,148579,2542,258500,33360
Marathon Petroleum,19,141032,9738,17700,47526
Elevance Health,20,138639,6104,98200,119923
Kroger,21,137888,1655,420000,33846
Ford Motor,22,136341,17937,183000,50609
Verizon Communications,23,133613,22065,118400,211872
JPMorgan Chase,24,127202,48334,271025,336469
General Motors,25,127004,10019,157000,50156
Centene,26,125982,1347,72500,53429
Meta Platforms,27,117929,39370,71970,475718
Comcast,28,116385,14159,189000,185069
Phillips 66,29,114852,1317,14000,41091
Valero Energy,30,108332,930,9804,44376
Dell Technologies,31,106995,5563,133000,32568
Target,32,106005,6946,450000,71112
Fannie Mae,33,101543,22176,7400,3961
United Parcel Service,34,97287,12890,400945,162355
Lowe's,35,96250,8442,270000,120655
Bank of America,36,93851,31978,208248,268697
Johnson & Johnson,37,93775,20878,141700,451785
Archer Daniels Midland,38,85249,2709,39979,41545
FedEx,39,83959,5231,484000,58577
Humana,40,83064,2933,95500,62653
Wells Fargo,41,82407,21548,247848,162606
State Farm Insurance,42,82224.7,1280.9,53586,
Pfizer,43,81288,21979,79000,288232
Citigroup,44,79865,21952,221768,100976
PepsiCo,45,79474,7618,309000,234697
Intel,46,79024,19868,121100,164460
Procter & Gamble,47,76118,14306,101000,345595
General Electric,48,74196,-6520,168000,73458
IBM,49,72344,5743,297800,107307
MetLife,50,71080,6554,43000,49443
Prudential Financial,51,70934,7724,40916,35689
